time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-06-21T14:03:12.840Z,38.7751667,-122.7136667,1.25,2.96,md,72,32,0.003376,0.09,nc,nc73033796,2018-06-22T16:20:34.753Z,"2km W of Anderson Springs, CA",earthquake,0.12,0.12,0.225,73,reviewed,nc,nc
2018-06-21T06:29:16.680Z,38.8115,-122.7815,0.3,2.73,md,41,53,0.001868,0.06,nc,nc73033511,2018-06-22T02:04:03.608Z,"4km NNW of The Geysers, CA",earthquake,0.12,0.13,0.145,3,reviewed,nc,nc
2018-06-21T06:28:56.650Z,38.8088333,-122.7815,0.09,2.94,md,74,21,0.004465,0.05,nc,nc73033506,2018-06-21T20:48:03.285Z,"4km NNW of The Geysers, CA",earthquake,0.07,0.14,0.206,68,reviewed,nc,nc
2018-06-20T17:32:03.900Z,36.2449,-98.9178,4.292,2.6,ml,,100,,0.53,us,us1000ewnj,2018-07-02T21:56:24.040Z,"23km N of Taloga, Oklahoma",earthquake,2.2,4.5,,,reviewed,tul,tul
2018-06-20T16:15:09.000Z,45.7806,-74.2374,16.19,2.6,mb_lg,,69,0.488,1.03,us,us1000f02s,2018-06-24T21:22:16.040Z,"12km SSW of Saint-Sauveur, Canada",earthquake,1.2,6.4,0.083,38,reviewed,us,us
2018-06-20T08:11:47.860Z,32.6068333,-117.5406667,17.8,3.46,ml,55,183,0.2891,0.18,ci,ci38201312,2018-06-24T14:34:50.545Z,"35km WSW of Coronado, CA",earthquake,0.37,0.6,0.147,322,reviewed,ci,ci
2018-06-20T01:20:32.260Z,34.9466667,-116.7413333,4.43,3.32,ml,39,48,0.1573,0.14,ci,ci38201136,2018-06-21T01:27:16.040Z,"26km ENE of Barstow, CA",earthquake,0.12,0.73,0.133,319,reviewed,ci,ci
2018-06-19T16:33:48.500Z,36.8228,-97.7347,7.999,2.6,ml,,39,,0.53,us,us1000evm4,2018-06-27T18:25:01.040Z,"1km N of Medford, Oklahoma",earthquake,0.8,6.3,,,reviewed,tul,tul
2018-06-19T16:20:12.980Z,37.2688333,-119.836,9.38,2.58,md,27,84,0.2947,0.13,nc,nc73032601,2018-06-28T01:45:03.987Z,"10km NNW of Yosemite Lakes, CA",earthquake,0.41,0.82,0.19,64,reviewed,nc,nc
2018-06-19T16:00:38.600Z,36.2788,-97.5072,8.366,3.8,ml,,25,,0.15,us,us1000evlh,2018-06-27T16:43:04.968Z,"19km W of Perry, Oklahoma",earthquake,1.4,10.1,,,reviewed,tul,tul
2018-06-19T15:58:09.800Z,35.3674,-98.0687,6.614,3.1,ml,,117,,0.5,us,us1000evle,2018-06-27T16:34:08.196Z,"11km WSW of Union City, Oklahoma",earthquake,1.8,4.2,,,reviewed,tul,tul
2018-06-19T07:15:35.070Z,38.142,-112.5708333,9.64,3.12,ml,30,43,0.1453,0.15,uu,uu60286212,2018-06-29T06:46:21.040Z,"16km SSE of Beaver, Utah",earthquake,0.24,0.61,0.157,21,reviewed,uu,uu
2018-06-18T22:21:22.930Z,37.3495,-97.973,5,3.1,mb_lg,,90,0.055,0.45,us,us1000euy3,2018-06-27T03:03:12.038Z,"8km NE of Harper, Kansas",earthquake,1.5,1.4,0.051,99,reviewed,us,us
2018-06-18T22:03:08.200Z,35.3578,-98.0649,7.362,2.5,ml,,140,,0.57,us,us1000evj0,2018-06-21T01:02:13.040Z,"11km WSW of Union City, Oklahoma",earthquake,1.6,3.8,,,reviewed,tul,tul
2018-06-18T21:00:30.300Z,35.3628,-98.0694,7.699,2.7,ml,,92,,0.6,us,us1000euvh,2018-06-22T16:39:20.474Z,"12km WSW of Union City, Oklahoma",earthquake,1.3,3.4,,,reviewed,tul,tul
2018-06-18T20:03:40.440Z,35.037,-119.0458333,9.85,2.63,ml,47,59,0.1442,0.24,ci,ci38200128,2018-06-20T14:35:46.240Z,"15km NW of Grapevine, CA",earthquake,0.21,0.6,0.216,67,reviewed,ci,ci
2018-06-18T10:12:01.900Z,36.0761,-97.5535,5.955,2.6,ml,,23,,0.26,us,us1000eudm,2018-06-27T09:54:44.040Z,"14km NNE of Crescent, Oklahoma",earthquake,0.9,4.8,,,reviewed,tul,tul
2018-06-17T23:20:54.240Z,33.131,-115.6235,4.7,2.92,ml,68,41,0.03768,0.27,ci,ci38199592,2018-06-18T23:13:50.040Z,"10km W of Calipatria, CA",earthquake,0.2,0.45,0.153,95,reviewed,ci,ci
2018-06-17T18:36:19.110Z,33.1323333,-115.622,4.28,2.52,ml,32,51,0.03685,0.17,ci,ci38199376,2018-06-19T18:50:52.084Z,"10km W of Calipatria, CA",earthquake,0.17,0.39,0.122,8,reviewed,ci,ci
2018-06-17T18:34:58.810Z,33.1351667,-115.6273333,5.15,3.63,mw,108,40,0.04199,0.27,ci,ci38199368,2018-07-14T19:02:55.040Z,"11km W of Calipatria, CA",earthquake,0.16,0.38,,4,reviewed,ci,ci
2018-06-17T12:50:23.850Z,36.1081667,-89.7526667,9.18,2.69,md,46,32,0.04269,0.09,nm,nm60205687,2018-06-22T10:56:07.040Z,"7km ENE of Steele, Missouri",earthquake,0.16,0.37,0.111,35,reviewed,nm,nm
2018-06-17T09:20:39.270Z,35.9075,-120.4911667,-0.63,2.56,md,67,36,0.0292,0.17,nc,nc73031566,2018-06-19T08:49:01.606Z,"6km W of Parkfield, CA",earthquake,0.17,0.81,0.179,44,reviewed,nc,nc
2018-06-17T06:16:15.400Z,36.0677,-97.5723,6.252,3.3,ml,,22,,0.17,us,us1000etmd,2018-07-14T05:35:32.889Z,"12km N of Crescent, Oklahoma",earthquake,1.1,1.5,,,reviewed,tul,tul
2018-06-17T03:40:23.830Z,32.2948333,-115.2593333,17.02,2.57,ml,24,121,0.1302,0.25,ci,ci38199056,2018-06-18T20:27:57.190Z,"9km SW of Delta, B.C., MX",earthquake,0.49,1.19,0.265,45,reviewed,ci,ci
2018-06-17T00:34:30.700Z,40.3541667,-124.6995,18.14,2.75,md,34,241,0.3018,0.07,nc,nc73031456,2018-06-18T19:52:02.480Z,"35km W of Petrolia, CA",earthquake,0.48,0.49,0.198,36,reviewed,nc,nc
2018-06-17T00:14:14.610Z,33.5003333,-116.8055,4.48,2.6,ml,133,26,0.08635,0.22,ci,ci38198968,2018-06-18T18:13:08.880Z,"8km NE of Aguanga, CA",earthquake,0.1,0.38,0.147,133,reviewed,ci,ci
