time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2018-07-10T20:07:48.600Z,27.7403,-105.6446,10,4.2,mb,,105,0.8,0.8,us,us2000g1j3,2018-07-13T20:08:15.018Z,"20km SW of Naica, Mexico",earthquake,4,1.8,0.065,66,reviewed,us,us
2018-07-10T11:56:35.760Z,36.8437,-97.7007,2.62,2.6,mb_lg,,32,0.127,0.34,us,us2000g13l,2018-07-10T13:22:03.402Z,"5km NE of Medford, Oklahoma",earthquake,1.1,2.3,0.069,55,reviewed,us,us
2018-07-10T11:08:37.420Z,34.0108333,-117.5846667,4.31,3.57,ml,199,11,0.02013,0.23,ci,ci37277082,2018-07-16T04:57:10.985Z,"6km SE of Ontario, CA",earthquake,0.1,0.3,0.176,345,reviewed,ci,ci
2018-07-10T07:18:17.410Z,36.2912,-97.5354,7.11,3.6,mb_lg,,40,0.204,0.18,us,us2000g0xg,2018-07-15T03:42:07.072Z,"22km W of Perry, Oklahoma",earthquake,1.1,2.4,0.044,137,reviewed,us,us
2018-07-10T04:30:02.680Z,39.5871667,-120.6676667,6.46,2.86,md,35,52,0.1701,0.12,nc,nc73042541,2018-07-14T02:40:15.332Z,"18km SW of Whitehawk, CA",earthquake,0.24,1.29,0.216,56,reviewed,nc,nc
2018-07-10T00:00:07.050Z,37.1251667,-121.5265,7.26,3.06,ml,89,51,0.06921,0.06,nc,nc73042391,2018-07-15T19:36:12.606Z,"9km ENE of San Martin, CA",earthquake,0.09,0.28,0.132,47,reviewed,nc,nc
2018-07-09T15:23:23.580Z,31.5751667,-115.6855,7.79,2.7,ml,9,127,0.2016,0.07,ci,ci37276546,2018-07-10T00:46:01.911Z,"85km E of Maneadero, B.C., MX",earthquake,0.22,0.79,0.096,16,reviewed,ci,ci
2018-07-09T13:20:53.700Z,36.5394,-98.9611,6.433,2.6,ml,,86,,0.25,us,us2000g0c7,2018-07-10T07:31:05.973Z,"24km ENE of Mooreland, Oklahoma",earthquake,3.1,5.2,,,reviewed,tul,tul
2018-07-09T11:11:11.550Z,33.877,-116.2025,9,2.72,ml,68,56,0.05405,0.15,ci,ci37276426,2018-07-10T11:40:47.378Z,"17km N of Indio, CA",earthquake,0.16,0.45,0.155,25,reviewed,ci,ci
2018-07-09T10:24:38.900Z,40.3973333,-124.8988333,4.89,2.65,md,50,259,0.4355,0.18,nc,nc73042161,2018-07-11T04:24:02.791Z,"53km W of Petrolia, CA",earthquake,0.64,1.09,0.17,46,reviewed,nc,nc
2018-07-09T08:33:58.150Z,38.0663333,-112.4016667,0.01,2.67,ml,24,54,0.1734,0.25,uu,uu60288267,2018-07-11T14:43:30.640Z,"26km SE of Beaver, Utah",earthquake,0.48,4.17,0.12,16,reviewed,uu,uu
2018-07-09T02:53:46.510Z,31.6636,-104.5034,5,3,ml,,69,0.966,0.34,us,us2000g01a,2018-07-10T18:17:59.259Z,"75km NNE of Van Horn, Texas",earthquake,2.6,2,0.091,48,reviewed,us,us
2018-07-08T12:18:56.900Z,36.2793,-97.5044,6.647,2.5,ml,,50,,0.17,us,us2000fztj,2018-07-16T06:20:25.040Z,"19km W of Perry, Oklahoma",earthquake,1.1,2.4,,,reviewed,tul,tul
2018-07-07T21:50:12.550Z,36.9904,-97.4976,5.2,3.2,mb_lg,,52,0.027,0.26,us,us2000fzbf,2018-07-11T20:08:25.681Z,"10km ESE of Caldwell, Kansas",earthquake,1.7,3.3,0.049,108,reviewed,us,us
2018-07-07T15:37:03.560Z,34.8028333,-116.2788333,3.14,3.55,ml,38,60,0.05327,0.16,ci,ci37275802,2018-07-10T00:14:26.969Z,"14km NW of Ludlow, CA",earthquake,0.15,0.55,0.155,316,reviewed,ci,ci
2018-07-07T12:51:42.122Z,41.2208,-116.2746,4.1,3.3,ml,21,132.47,0.217,0.1143,nn,nn00643364,2018-07-13T09:15:28.040Z,"58km NNW of Carlin, Nevada",earthquake,,2,0.12,13,reviewed,nn,nn
2018-07-06T17:30:31.640Z,45.3703,-112.0948,10.32,2.8,ml,,41,0.398,1.3,us,us2000fyer,2018-07-06T21:17:50.220Z,"14km NW of Virginia City, Montana",earthquake,3.5,11.1,0.049,54,reviewed,us,us
2018-07-06T16:26:03.346Z,37.1583,-117.3757,12.2,2.5,ml,43,43.22,0.163,0.1953,nn,nn00643206,2018-07-12T17:11:41.062Z,"61km WNW of Beatty, Nevada",earthquake,,0.7,0.23,25,reviewed,nn,nn
2018-07-06T09:29:42.500Z,34.742,-87.6756667,8.16,2.79,md,13,49,0.3979,0.12,se,se60058923,2018-07-08T04:52:21.376Z,"0km WSW of Muscle Shoals, Alabama",earthquake,0.41,1,0.051,10,reviewed,se,se
2018-07-06T03:34:02.690Z,31.6096667,-116.028,7.35,2.59,ml,15,187,0.3013,0.1,ci,ci37275146,2018-07-06T18:22:45.469Z,"52km ESE of Maneadero, B.C., MX",earthquake,0.32,0.68,0.16,20,reviewed,ci,ci
2018-07-05T18:57:51.620Z,32.9556667,-116.326,9.98,2.59,ml,77,55,0.1029,0.19,ci,ci37274930,2018-07-06T06:52:39.083Z,"24km NE of Pine Valley, CA",earthquake,0.15,0.5,0.156,25,reviewed,ci,ci
2018-07-05T15:48:52.770Z,35.0255,-119.0661667,9.38,2.82,ml,64,44,0.1467,0.26,ci,ci37274834,2018-07-09T16:18:07.231Z,"15km NW of Grapevine, CA",earthquake,0.22,0.63,0.157,24,reviewed,ci,ci
2018-07-05T15:17:36.947Z,35.8945,-115.7758,8.6,4.5,ml,59,40.27,0.303,0.2678,nn,nn00642964,2018-07-16T20:03:59.779Z,"15km WNW of Sandy Valley, Nevada",earthquake,,1.3,0.33,17,reviewed,nn,nn
2018-07-05T10:04:00.760Z,41.22,-100.052,5,2.7,mb_lg,,77,1.444,0.76,us,us2000fxaz,2018-07-05T13:09:32.792Z,"33km NNE of Gothenburg, Nebraska",earthquake,2.9,1.6,0.193,7,reviewed,us,us
2018-07-05T01:09:30.890Z,44.3715,-110.4275,11.11,2.5,ml,21,112,0.08536,0.18,uu,uu60287717,2018-07-05T15:06:09.630Z,"33km ESE of Old Faithful Geyser, Wyoming",earthquake,0.4,0.6,0.067,3,reviewed,uu,uu
2018-07-04T12:02:03.960Z,36.2097,-98.4729,5,2.5,mb_lg,,59,0.223,0.22,us,us2000fwt6,2018-07-04T12:19:23.040Z,"6km S of Fairview, Oklahoma",earthquake,1.2,1.9,0.081,40,reviewed,us,us
2018-07-04T00:44:59.940Z,35.982,-117.9696667,4.13,2.54,ml,34,87,0.06922,0.1,ci,ci37274274,2018-07-05T21:15:01.040Z,"7km SSW of Coso Junction, CA",earthquake,0.13,0.33,0.216,25,reviewed,ci,ci
2018-07-03T22:10:38.970Z,32.0171667,-114.9836667,19.11,3.07,ml,19,259,0.2955,0.3,ci,ci37274218,2018-07-05T21:57:09.250Z,"20km S of Estacion Coahuila, B.C., MX",earthquake,1.09,0.88,0.27,64,reviewed,ci,ci
2018-07-03T21:16:08.840Z,36.9884,-104.865,5.93,3.2,ml,,52,0.148,0.53,us,us2000fwa5,2018-07-07T22:58:26.032Z,"38km WSW of Trinidad, Colorado",earthquake,2.1,1.8,0.081,24,reviewed,us,us
2018-07-03T20:15:21.230Z,41.387,-100.1281,1.08,3.6,mwr,,41,1.342,0.74,us,us2000fw8c,2018-07-05T17:23:31.593Z,"33km ESE of Stapleton, Nebraska",earthquake,4.9,8,0.083,14,reviewed,us,us
2018-07-03T16:28:14.200Z,36.2164,-97.5626,5.09,2.8,ml,,23,,0.32,us,us2000fw01,2018-07-03T17:46:47.040Z,"25km WSW of Perry, Oklahoma",earthquake,1.5,7.4,,,reviewed,tul,tul
2018-07-03T13:07:07.200Z,31.6073,-104.5128,5,2.5,mb_lg,,83,0.522,0.5,us,us2000fvux,2018-07-03T13:46:53.040Z,"69km NNE of Van Horn, Texas",earthquake,1.6,2,0.117,24,reviewed,us,us
2018-07-03T12:19:44.260Z,42.6134,-111.586,3.19,2.8,ml,,39,0.045,0.68,us,us2000fvth,2018-07-03T16:40:34.243Z,"4km SSE of Soda Springs, Idaho",earthquake,4.6,5,0.04,84,reviewed,us,us
2018-07-03T07:45:17.560Z,40.6204,-106.4142,1.74,2.6,ml,,76,0.45,0.65,us,us2000fvk0,2018-07-14T11:48:25.040Z,"16km SW of Walden, Colorado",earthquake,1.9,2.4,0.045,66,reviewed,us,us
2018-07-02T21:43:48.590Z,41.3517,-100.1282,5,2.7,mb_lg,,62,1.376,0.69,us,us2000fv4p,2018-07-16T01:01:07.428Z,"35km ESE of Stapleton, Nebraska",earthquake,2.2,2,0.068,57,reviewed,us,us
2018-07-02T21:08:51.500Z,35.8906,-97.2822,6.136,3.5,ml,,41,,0.25,us,us2000fv2v,2018-07-13T02:00:15.510Z,"6km SSW of Langston, Oklahoma",earthquake,1.1,2.5,,,reviewed,tul,tul
2018-07-02T19:53:55.460Z,38.3465,-122.6291667,6.92,2.9,md,99,41,0.04034,0.13,nc,nc73039516,2018-07-10T04:59:54.201Z,"6km NNE of Penngrove, CA",earthquake,0.11,0.23,0.201,86,reviewed,nc,nc
2018-07-02T19:03:13.970Z,45.7191,-112.1629,13.39,3.3,ml,,71,0.393,0.63,us,us2000fuw5,2018-07-09T13:12:59.324Z,"17km SSW of Whitehall, Montana",earthquake,3.5,10.2,0.053,46,reviewed,us,us
2018-07-02T17:20:41.970Z,37.3275,-97.9902,7.35,2.5,mb_lg,,136,0.03,0.36,us,us2000fu3t,2018-07-09T13:04:31.040Z,"5km NE of Harper, Kansas",earthquake,1.9,6.4,0.074,47,reviewed,us,us
2018-07-02T16:25:52.250Z,41.404,-100.1756,5,3.8,mb_lg,,114,1.336,0.4,us,us2000fu0i,2018-07-09T14:03:37.629Z,"29km ESE of Stapleton, Nebraska",earthquake,4.2,2,0.046,124,reviewed,us,us
2018-07-02T12:28:04.200Z,35.9739,-97.7967,5.676,3,ml,,17,,0.2,us,us2000ftxu,2018-07-14T12:24:51.496Z,"17km NE of Kingfisher, Oklahoma",earthquake,0.7,3.2,,,reviewed,tul,tul
2018-07-02T02:58:26.500Z,35.3793,-98.1105,7.138,2.7,ml,,105,,0.57,us,us2000ftib,2018-07-13T00:37:14.694Z,"15km W of Union City, Oklahoma",earthquake,1,3.6,,,reviewed,tul,tul
2018-07-02T00:48:15.500Z,36.3652,-98.1929,6.197,2.6,ml,,39,,0.26,us,us2000fteu,2018-07-16T04:50:38.876Z,"21km SSE of Helena, Oklahoma",earthquake,1.2,4.1,,,reviewed,tul,tul
2018-07-02T00:17:23.190Z,28.9625,-97.8803,5,2.8,mb_lg,,89,0.124,0.81,us,us2000fte5,2018-07-10T05:19:56.044Z,"8km NNE of Karnes City, Texas",earthquake,5.3,2,0.102,63,reviewed,us,us
2018-07-02T00:03:12.700Z,36.7628,-98.0658,6.792,3.1,ml,,38,,0.29,us,us2000fte1,2018-07-16T02:59:14.040Z,"25km E of Cherokee, Oklahoma",earthquake,1.5,4.6,,,reviewed,tul,tul
2018-07-01T21:58:27.640Z,43.622,-108.3593333,4.47,2.91,ml,17,101,1.225,0.31,mb,mb80300064,2018-07-02T20:19:37.442Z,"12km WSW of Thermopolis, Wyoming",earthquake,0.92,2.49,0.437,15,reviewed,mb,mb
2018-07-01T08:42:00.100Z,41.3575,-100.1252,5,3.9,mwr,,60,1.37,0.27,us,us2000fsv1,2018-07-02T22:29:47.083Z,"35km ESE of Stapleton, Nebraska",earthquake,4.1,2,0.071,19,reviewed,us,us
2018-07-01T08:12:17.620Z,41.3791,-100.0948,2.63,3.7,mwr,,60,1.343,0.88,us,us2000fsuc,2018-07-02T22:45:05.832Z,"36km ESE of Stapleton, Nebraska",earthquake,5.8,8.5,0.06,27,reviewed,us,us
2018-07-01T07:49:53.250Z,41.3742,-100.1389,10,2.7,mb_lg,,41,1.356,0.91,us,us2000fsu7,2018-07-01T08:56:55.880Z,"33km ESE of Stapleton, Nebraska",earthquake,5.7,2,0.063,65,reviewed,us,us
2018-07-01T05:44:28.400Z,36.467,-121.0345,2.48,2.78,md,66,105,0.04401,0.11,nc,nc73038461,2018-07-02T16:31:02.837Z,"12km SE of Pinnacles, CA",earthquake,0.16,0.37,0.225,82,reviewed,nc,nc
2018-07-01T02:58:14.200Z,35.8891,-97.2831,6.283,3.2,ml,,28,,0.23,us,us2000ftb2,2018-07-10T05:13:18.449Z,"6km SSW of Langston, Oklahoma",earthquake,1.1,1.9,,,reviewed,tul,tul
2018-06-30T16:35:51.270Z,35.8836,-97.2762,5.75,2.6,mb_lg,,29,0.169,0.18,us,us2000fscs,2018-06-30T19:41:57.565Z,"7km SSW of Langston, Oklahoma",earthquake,1.2,3.6,0.068,56,reviewed,us,us
2018-06-30T16:15:50.680Z,35.8843,-97.2785,4.98,2.9,mb_lg,,31,0.167,0.13,us,us2000fscb,2018-07-01T11:44:43.127Z,"7km SSW of Langston, Oklahoma",earthquake,0.8,5,0.049,109,reviewed,us,us
2018-06-30T08:51:43.220Z,34.9408333,-116.6573333,9.25,2.54,ml,30,36,0.1291,0.15,ci,ci37272282,2018-07-02T17:14:46.860Z,"34km E of Barstow, CA",earthquake,0.16,0.53,0.133,93,reviewed,ci,ci
2018-06-30T08:14:15.030Z,34.942,-116.6586667,8.18,3.07,ml,32,36,0.1283,0.15,ci,ci37272234,2018-07-02T14:40:37.430Z,"34km E of Barstow, CA",earthquake,0.16,0.6,0.152,282,reviewed,ci,ci
2018-06-30T06:44:01.120Z,34.9408333,-116.6601667,9.44,3.13,ml,32,36,0.1298,0.15,ci,ci37272194,2018-07-02T14:23:55.150Z,"33km E of Barstow, CA",earthquake,0.15,0.46,0.123,288,reviewed,ci,ci
